21514 20160102 0900 20160101 2300  2.424 -155.58   19.54     6.4     5.9     7.1     4.5     0.0      0 0      0 0      0 0 C    -3.0 0    -2.7 0    -3.5 0     4 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160102 1000 20160102 0000  2.424 -155.58   19.54     6.9     6.1     8.3     5.1     0.0      0 0      0 0      0 0 C    -3.2 0    -2.9 0    -4.1 0     3 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160102 1100 20160102 0100  2.424 -155.58   19.54     5.4     6.8     7.8     5.4     0.0      0 0      0 0      0 0 C    -4.7 0    -4.1 0    -5.3 0     2 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160102 1200 20160102 0200  2.424 -155.58   19.54     3.5     4.3     6.1     3.5     0.0      0 0      0 0      0 0 C    -4.9 0    -4.5 0    -5.3 0     4 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160102 1300 20160102 0300  2.424 -155.58   19.54     3.8     3.8     4.3     3.2     0.0      0 0      0 0      0 0 C    -4.3 0    -4.1 0    -4.5 0     4 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160102 1400 20160102 0400  2.424 -155.58   19.54     4.3     4.2     5.0     3.4     0.0      0 0      0 0      0 0 C    -4.0 0    -3.8 0    -4.1 0     3 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160102 1500 20160102 0500  2.424 -155.58   19.54     3.5     3.9     4.9     3.0     0.0      0 0      0 0      0 0 C    -4.4 0    -4.1 0    -5.0 0     3 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160102 1600 20160102 0600  2.424 -155.58   19.54     2.9     2.7     3.5     1.4     0.0      0 0      0 0      0 0 C    -5.5 0    -5.0 0    -6.0 0     4 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160102 1700 20160102 0700  2.424 -155.58   19.54     3.1     3.3     3.6     2.8     0.0      0 0      0 0      0 0 C    -5.1 0    -5.0 0    -5.2 0     4 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160102 1800 20160102 0800  2.424 -155.58   19.54     5.8     4.8     6.5     2.7     0.0     94 0    219 0      0 0 C    -3.7 0     0.5 0    -5.1 0     3 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160102 1900 20160102 0900  2.424 -155.58   19.54     9.7     8.6     9.8     5.7     0.0    334 0    447 0    219 0 C     6.5 0    13.6 0     0.5 0     1 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160102 2000 20160102 1000  2.424 -155.58   19.54    10.0    10.2    10.4     9.8     0.0    547 0    635 0    447 0 C    18.2 0    23.1 0    13.6 0     1 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160102 2100 20160102 1100  2.424 -155.58   19.54    11.6    10.8    11.6    10.0     0.0    705 0    765 0    635 0 C    26.3 0    30.4 0    23.1 0     2 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160102 2200 20160102 1200  2.424 -155.58   19.54    11.7    11.3    12.0    10.6     0.0    802 0    829 0    764 0 C    31.9 0    34.5 0    30.4 0     8 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160102 2300 20160102 1300  2.424 -155.58   19.54    10.9    11.2    11.7    10.6     0.0    833 0    840 0    825 0 C    34.0 0    34.7 0    33.2 0     7 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160103 0000 20160102 1400  2.424 -155.58   19.54    11.4    11.4    12.1    10.5     0.0    796 0    828 0    748 0 C    33.6 0    34.5 0    30.7 0     7 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160103 0100 20160102 1500  2.424 -155.58   19.54    10.7    11.1    11.7    10.5     0.0    682 0    749 0    607 0 C    29.1 0    30.7 0    26.8 0    33 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160103 0200 20160102 1600  2.424 -155.58   19.54    10.1    10.3    11.0     9.6     0.0    512 0    607 0    410 0 C    24.5 0    26.8 0    22.6 0    36 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160103 0300 20160102 1700  2.424 -155.58   19.54     9.7    10.2    10.8     9.7     0.0    298 0    410 0    185 0 C    18.8 0    22.6 0    14.1 0    24 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160103 0400 20160102 1800  2.424 -155.58   19.54     8.1     8.7     9.9     8.1     0.0     69 0    185 0      0 0 C     9.8 0    14.1 0     5.3 0    35 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160103 0500 20160102 1900  2.424 -155.58   19.54     7.4     7.6     8.1     7.2     0.0      0 0      0 0      0 0 C     3.0 0     5.3 0     1.3 0    23 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160103 0600 20160102 2000  2.424 -155.58   19.54     6.3     6.7     7.5     6.2     0.0      0 0      0 0      0 0 C     0.4 0     1.3 0    -0.7 0    13 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160103 0700 20160102 2100  2.424 -155.58   19.54     5.9     5.9     6.4     5.5     0.0      0 0      0 0      0 0 C    -0.8 0    -0.7 0    -1.0 0    17 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160103 0800 20160102 2200  2.424 -155.58   19.54     5.7     5.4     6.2     4.5     0.0      0 0      0 0      0 0 C    -1.0 0    -0.8 0    -1.3 0    21 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160103 0900 20160102 2300  2.424 -155.58   19.54     5.0     4.8     5.7     4.5     0.0      0 0      0 0      0 0 C    -1.7 0    -1.3 0    -1.9 0    21 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160103 1000 20160103 0000  2.424 -155.58   19.54     5.6     5.1     5.6     4.5     0.0      0 0      0 0      0 0 C    -1.5 0    -1.3 0    -1.8 0    22 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160103 1100 20160103 0100  2.424 -155.58   19.54     4.9     5.3     6.3     4.3     0.0      0 0      0 0      0 0 C    -2.1 0    -1.4 0    -2.8 0    18 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160103 1200 20160103 0200  2.424 -155.58   19.54     5.5     5.0     6.0     3.9     0.0      0 0      0 0      0 0 C    -3.2 0    -2.8 0    -3.4 0    12 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160103 1300 20160103 0300  2.424 -155.58   19.54     4.6     5.1     5.7     4.6     0.0      0 0      0 0      0 0 C    -3.3 0    -2.9 0    -3.4 0     6 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160103 1400 20160103 0400  2.424 -155.58   19.54     4.5     4.9     5.4     4.3     0.0      0 0      0 0      0 0 C    -2.6 0    -2.3 0    -2.9 0     5 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160103 1500 20160103 0500  2.424 -155.58   19.54     4.9     5.0     5.4     4.3     0.0      0 0      0 0      0 0 C    -2.6 0    -2.4 0    -2.7 0     4 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160103 1600 20160103 0600  2.424 -155.58   19.54     5.8     5.4     5.9     4.9     0.0      0 0      0 0      0 0 C    -2.5 0    -2.3 0    -2.6 0     3 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160103 1700 20160103 0700  2.424 -155.58   19.54     5.5     5.8     6.4     5.2     0.0      0 0      0 0      0 0 C    -1.9 0    -1.8 0    -2.3 0     3 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160103 1800 20160103 0800  2.424 -155.58   19.54     7.3     6.0     7.4     5.2     0.0     93 0    217 0      0 0 C    -1.1 0     2.6 0    -2.0 0     4 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160103 1900 20160103 0900  2.424 -155.58   19.54     7.9     7.3     8.2     6.4     0.0    333 0    444 0    218 0 C     7.1 0    11.9 0     2.6 0     3 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160103 2000 20160103 1000  2.424 -155.58   19.54    10.7     9.3    10.7     7.9     0.0    545 0    634 0    445 0 C    16.1 0    21.4 0    11.9 0     1 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160103 2100 20160103 1100  2.424 -155.58   19.54    10.3    11.1    12.5    10.3     0.0    704 0    765 0    634 0 C    24.2 0    26.2 0    21.4 0     2 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160103 2200 20160103 1200  2.424 -155.58   19.54    11.4    11.1    11.5    10.3     0.0    803 0    832 0    764 0 C    27.9 0    29.2 0    26.2 0     3 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
